datetime,project,type,title,author,url,notes
2025-08-04 19:14:13,"",blog,Jonathan McPherson and the posit::conf(2025) Keynote Lineup,"",https://posit.co/blog/posit-conf-2025-keynotes/,""
2025-08-04 13:47:34,positron,blog,Exploratory Data Analysis with R in Positron,"",https://posit.co/blog/eda-in-positron/,""
2025-08-01 14:09:03,"",blog,Posit Professional Drivers 2025.07.0,"",https://posit.co/blog/pro-drivers-2025-07-0/,""
2025-07-31 16:28:55,positron,blog,What’s inside the Positron Lounge Experience,"",https://posit.co/blog/posit-conf-2025-positron-lounge/,""
2025-07-29 14:06:20,"",blog,openstatsware: From the mmrm R package to a lively community,"",https://posit.co/blog/openstatsware-interview/,""
2025-07-28 13:45:10,positron,blog,A quick tour of Positron,"",https://posit.co/blog/a-quick-tour-of-positron/,""
2025-07-25 09:15:00,"",blog,Which AI model writes the best Pandas code?,"",https://posit.co/blog/python-llm-evaluation/,""
2025-07-24 12:25:23,"",blog,How to convince your boss you should attend posit::conf(2025),"",https://posit.co/blog/posit-conf-2025-convince-your-boss/,""
2025-07-22 15:36:03,connect-cloud,blog,Introducing Error Assist on Connect Cloud: Your AI-Powered Troubleshooting Companion,"",https://posit.co/blog/connect-cloud-error-assist/,""
2025-07-16 22:45:45,shiny-r,blog,Your LLM-powered guide to the posit::conf(2025) agenda,"",https://posit.co/blog/posit-conf-2025-agenda/,""
2025-07-14 08:58:00,orbital-python,blog,Introducing Orbital for converting Scikit-learn pipelines into SQL queries,"",https://posit.co/blog/introducing-orbital-for-scikit-learn-pipelines/,""
2025-07-09 08:30:00,"",blog,How to use natural language data science with RStudio and Amazon SageMaker,"",https://posit.co/blog/natural-language-data-science-with-rstudio-and-sagemaker/,""
2025-07-08 19:01:00,"",blog,Embracing open-source data science for smarter financial risk decisions,"",https://posit.co/blog/risk-management-open-source-data-science/,""
2025-06-30 08:56:00,quarto,blog,Posit @ PyCon US 2025: Try Our Demo Labs!,"",https://posit.co/blog/posit-at-pycon-us-2025/,""
2025-06-26 13:12:50,plotnine,blog,Three major updates to the Plotnine website,"",https://posit.co/blog/three-major-updates-to-the-plotnine-website/,""
2025-06-25 15:09:00,orbital-python,blog,Deploying Scikit-learn models for in-database scoring with Snowflake,"",https://posit.co/blog/snowflake-orbital-scikit-learn-models/,""
